"Attribute ""%1"" is required.","Thuộc tính ""%1"" là bắt buộc."
"Enabled","Đã kích hoạt"
"Disabled","Vô hiệu hóa"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Cập nhật trong tương lai trong khoảng thời gian này đã tồn tại. Chọn khoảng thời gian khác để thêm Cập nhật trong tương lai mới."
"Unable to save product","Không thể lưu sản phẩm"
"The image cannot be removed as it has been assigned to the other image role","Hình ảnh không thể loại bỏ vì nó đã được chỉ định vai trò cho hình ảnh khác"
"Design","Thiết kế"
"View/Edit","Xem/chỉnh sửa"
"Delete","Xóa"
"Preview","Xem trước"
"Set Product as New","Đặt sản phẩm trong trạng thái Mới"
"Store View:","Cửa hàng:"
"Stores Configuration","Thuộc tính của cửa hàng"
"Images","Hình ảnh"
"Scheduled Changes","Lịch trình thay đổi"
"Name","Tên"
"Description","Mô tả"
"Action","Thao tác"
"Update Information","Cập nhật thông tin"
"Remove Category from Campaign","Loại bỏ nhóm khỏi chiến dịch"
"Update Name","Cập Nhật tên"
"Start Date","Ngày bắt đầu"
"End Date","Ngày kết thúc"
"General Information","Thông tin chung"
"Enable Category","Cho phép nhóm"
"Include in Menu","Bao gồm trong Menu"
"Category Name","Tên nhóm"
"Content","Nội dung"
"Category Image","Hình ảnh nhóm"
"Add CMS Block","Thêm CMS block"
"Display Settings","Cài đặt hiển thị"
"Anchor","Anchor"
"Sort Products By","Sắp xếp sản phẩm theo"
"Use All","Sử dụng tất cả"
"Default Product Sorting","Mặc định sắp xếp sản phẩm"
"Use Config Settings","Sử dụng cài đặt cấu hình"
"Layered Navigation Price Step","Các bước giá Layered Navigation"
"Search Engine Optimization","Tối Ưu Công Cụ Tìm Kiếm"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Mô tả meta"
"Use Parent Category Settings","Sử dụng thiết lập nhóm mẹ"
"New Theme","Chủ đề mới"
"Layout","Giao diện"
"Layout Update XML","Cập Nhật giao diện XML"
"Apply Design to Products","Áp dụng thiết kế cho sản phẩm"
"Save as a New Update","Lưu như một bản cập nhật mới"
"Move to Another Campaign","Di chuyển đến một chiến dịch khác"
"Delete the Update","Xóa bỏ bản Cập Nhật"
"Deleting the update will remove the page from this campaign and all scheduled changes will be lost.","Xóa các bản Cập Nhật sẽ loại bỏ các trang khỏi chiến dịch này và tất cả các thay đổi dự kiến sẽ bị mất."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Start Time","Thời Gian Bắt Đầu"
"End Time","Thời gian kết thúc"
"ID","ID"
"Thumbnail","Hình ảnh thu nhỏ"
"Attribute Set","Thiết lập thuộc tính"
"AttributeSetText","Văn bản cài đặt thuộc tính"
"Status","Trạng thái"
"StatusText","Văn bản trạng thái"
"Type","Loại"
"SKU","MÃ SẢN PHẨM"
"Price","Giá"
"Remove Product from Campaign","Loại bỏ các sản phẩm từ chiến dịch"
"Deleting the update will remove the product from this campaign and all scheduled changes will be lost.","Xóa các bản Cập Nhật sẽ loại bỏ các sản phẩm khỏi chiến dịch này và tất cả các thay đổi dự kiến sẽ bị mất."
"Products","Sản phẩm"
"Categories","Nhóm"
"Path","Đường dẫn"
"Quantity","Số lượng"
"Visibility","Hiển thị"
"Websites","Các trang web"
