"Page not found.","Không tìm thấy trang."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Cảm ơn bạn đã liên hệ với chúng tôi với các ý kiến và câu hỏi của bạn. Chúng tôi sẽ sớm trả lời bạn."
"We can't process your request right now. Sorry, that's all we know.","Chúng tôi không thể xử lý yêu cầu của bạn ngay bây giờ. Xin lỗi, đó là tất cả chúng tôi biết."
"* Required Fields","* Bắt buộc"
"Write Us","Viết cho chúng tôi"
"Jot us a note and we’ll get back to you as quickly as possible.","Gửi một lưu ý cho chúng tôi và chúng tôi sẽ trả lời bạn nhanh nhất có thể."
"Name","Tên"
"Email","Email"
"Phone Number","Số Điện thoại"
"What’s on your mind?","Bạn đang nghĩ gì?"
"Submit","Gửi"
"Contact Form","Mẫu liên hệ"
"Name: %name","Tên: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Số điện thoại: %telephone"
"Comment: %comment","Bình luận: %comment"
"Contacts Section","Phần liên hệ"
"Contacts","Liên hệ"
"Contact Us","Liên hệ với chúng tôi"
"Enable Contact Us","Cho phép liên hệ với chúng tôi"
"Email Options","Tùy chọn email"
"Send Emails To","Gửi email đến"
"Email Sender","Người gửi Email"
"Email Template","Mẫu email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
