"Advanced Inventory","Quản lý kho hàng nâng cao"
"Manage Stock","Quản lý kho"
"Yes","Đồng ý"
"No","Không"
"Use Config Settings","Sử dụng cài đặt cấu hình"
"[GLOBAL]","[Toàn hệ thống]"
"Qty","Số lượng"
"Out-of-Stock Threshold","Ngưỡng hết hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Allow Multiple Boxes for Shipping","Cho phép nhiều hộp để vận chuyển"
"Backorders","Backorders"
"Use deferred Stock update","Sử dụng cập nhật kho chậm"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Enable Qty Increments","Cho phép gia số số lượng"
"Qty Increments","Gia số số lượng"
"Stock Availability","Tình trạng hàng"
