"No token found.","Mã thông báo không tìm thấy."
"Wrong request.","Yêu cầu sai."
"Deletion failure. Please try again.","Xóa bỏ thất bại. Xin vui lòng thử lại."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Stored Payment Methods","Stored Payment Methods"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Số thẻ"
"Expiration Date","Ngày hết hạn"
"Type","Loại"
"You have no stored payment methods.","You have no stored payment methods."
"ending","kết thúc"
"Actions","Thao tác"
"Delete","Xóa"
"PayPal Account","PayPal Account"
"Cancel","Hủy"
